epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.6680660768937317,0.6034682080924856,0.7389354307856687,0.4836795252225519
2,0.6408786588321531,0.6485549132947976,0.6675208785767371,0.615727002967359
3,0.614234669301059,0.669364161849711,0.6097269367747208,0.744807121661721
4,0.5829200325181522,0.7091659785301404,0.6279225437860461,0.7537091988130564
5,0.5616881584156456,0.7200660611065235,0.6018816466147539,0.7729970326409495
6,0.5481599349507018,0.7260115606936416,0.5957010181438321,0.7700296735905044
7,0.5443605435869106,0.7304706853839802,0.6003640087139005,0.7640949554896143
8,0.5341864469915653,0.738728323699422,0.5767854498118958,0.7685459940652819
9,0.5224974969809554,0.7448389760528489,0.6008078814967803,0.787833827893175
10,0.5120961642481885,0.7516102394715112,0.5605314367779638,0.7700296735905044
11,0.5088245426299255,0.7539223781998349,0.5616538777549472,0.7744807121661721
12,0.51031699643265,0.7522708505367465,0.5300196166031439,0.7744807121661721
13,0.5036406132576389,0.7583815028901734,0.5197935884359682,0.7685459940652819
14,0.4998224520171407,0.7563996696944674,0.5303405468470972,0.7774480712166172
15,0.498587921982851,0.7575557390586293,0.5374866865508988,0.7804154302670623
16,0.49411421124350424,0.764822460776218,0.5059642064376826,0.7700296735905044
17,0.497193483603483,0.7616845582163502,0.5135213149938103,0.787833827893175
18,0.4865837527935806,0.7684558216350124,0.524308511605956,0.787833827893175
19,0.4863351828297931,0.7639966969446739,0.5286892329726799,0.787833827893175
20,0.4911207434808194,0.7681255161023948,0.5149250652209941,0.7818991097922848
21,0.4826605367178173,0.7691164327002478,0.5185974743493587,0.7611275964391692
22,0.4794373489528722,0.7701073492981008,0.5507637403839066,0.7937685459940653
23,0.4808969519091086,0.7682906688687036,0.531975110136083,0.7922848664688428
24,0.4776019362995784,0.7737407101568952,0.5266573632506305,0.7893175074183977
25,0.47532088802827477,0.7727497935590422,0.49901331912516134,0.7893175074183977
26,0.4789777410808031,0.7694467382328654,0.5172794326830334,0.7922848664688428
27,0.47476938972780275,0.7710982658959538,0.49469340910985843,0.7789317507418397
28,0.4791906869677253,0.7724194880264245,0.520881134298152,0.7893175074183977
29,0.4740488261747321,0.771924029727498,0.5081303692712982,0.7893175074183977
30,0.4711426412635948,0.7765483071841454,0.49799171872768627,0.7863501483679525
31,0.4681277482298954,0.7732452518579687,0.4842610881395793,0.7848664688427299
32,0.47173972291507377,0.7710982658959538,0.49491185701565504,0.7893175074183977
33,0.4680673492437153,0.7735755573905863,0.49071655110718587,0.7789317507418397
34,0.46358556212914276,0.77588769611891,0.4945932749647769,0.7922848664688428
35,0.46707110032869903,0.7742361684558217,0.4761251123616533,0.787833827893175
