epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.6543693873179951,0.6598414795244386,0.6308387206640724,0.7685459940652819
2,0.5763683809629362,0.7263870541611624,0.5494982308379267,0.7462908011869436
3,0.525274266654938,0.7559445178335535,0.5019867839374599,0.7462908011869436
4,0.5046737292483744,0.7675033025099075,0.47640855787239017,0.7893175074183977
5,0.4858325895812741,0.7779062087186261,0.46548959370757775,0.7893175074183977
6,0.47753949701549825,0.7807133421400264,0.45941489303722227,0.7893175074183977
7,0.4721830902200394,0.7815389696169088,0.4569344330435337,0.7922848664688428
8,0.46630824419277345,0.7859973579920739,0.4540928485706581,0.7922848664688428
9,0.4667001795737243,0.7858322324966975,0.45373781742832076,0.7922848664688428
10,0.4625540704243722,0.7888044914134742,0.4520262605579741,0.7922848664688428
11,0.46284654850688917,0.7859973579920739,0.45135773430945964,0.7922848664688428
12,0.46005302084956806,0.7896301188903567,0.45115612489268053,0.7922848664688428
13,0.461361901290823,0.7869881109643329,0.4520762638584089,0.7922848664688428
14,0.45815411056521077,0.7889696169088507,0.45158925411520795,0.7922848664688428
15,0.45825147424065454,0.7881439894319683,0.450326346502106,0.7922848664688428
16,0.4568332778572879,0.7904557463672391,0.4512432583936598,0.7922848664688428
17,0.45735867610853287,0.7896301188903567,0.4530293379719604,0.7922848664688428
18,0.45799627911934293,0.7884742404227213,0.4517418051287753,0.7922848664688428
19,0.457014639043745,0.7902906208718626,0.45201411219838816,0.7922848664688428
20,0.4562844002971246,0.790785997357992,0.44988824969339974,0.7922848664688428
