epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.7015900173087836,0.5144346431435445,0.7024267513117344,0.5107913669064749
2,0.6904427296845743,0.5396952686447474,0.7006135505738018,0.49640287769784175
3,0.6888851004786365,0.5481154771451484,0.69957967241891,0.5215827338129496
4,0.6877784967040098,0.5465116279069767,0.6892465408757437,0.5467625899280576
5,0.6883262504839189,0.5513231756214916,0.720367546990621,0.49640287769784175
6,0.68549586843278,0.56214915797915,0.6929488795266735,0.5683453237410072
7,0.6874184116135622,0.5561347233360064,0.6927996402164157,0.5503597122302158
8,0.6843803951811006,0.5737770649558942,0.6957554251169987,0.5323741007194245
9,0.6843392650605012,0.5597433841218925,0.7082104768684442,0.5143884892086331
10,0.6863256524635871,0.553728949478749,0.7042452431411195,0.5107913669064749
11,0.687150837233665,0.5485164394546913,0.6997661714931186,0.5107913669064749
12,0.6862491530328153,0.5501202886928629,0.698130615752378,0.5503597122302158
13,0.6833078277139732,0.56214915797915,0.7015642305072263,0.5215827338129496
14,0.6823644391899598,0.5729751403368083,0.7235363906236003,0.48201438848920863
15,0.686265266027657,0.5653568564554932,0.6967236142364337,0.5035971223021583
16,0.6811648552285832,0.5737770649558942,0.696097745741014,0.5359712230215827
17,0.6803106609209117,0.5657578187650361,0.6966684842281204,0.5359712230215827
18,0.6810962672986884,0.5597433841218925,0.7124665774029794,0.5107913669064749
19,0.6790532658075273,0.5713712910986367,0.7005383929760336,0.5503597122302158
20,0.6802392228661104,0.5653568564554932,0.7010307093318418,0.5215827338129496
