epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.6182166498815787,0.6617671345995045,0.6090010521319924,0.7700296735905044
2,0.5152179793520076,0.7524360033030554,0.4986069270075252,0.744807121661721
3,0.46884235274584996,0.7750619322873659,0.4628628120600116,0.7833827893175074
4,0.4492546521859362,0.7853014037985137,0.5105239128146751,0.7640949554896143
5,0.4421693883485581,0.7877786952931461,0.44004073238845925,0.7937685459940653
6,0.4334652682703256,0.7907514450867053,0.4494321328209221,0.7922848664688428
7,0.4348348092580019,0.7895953757225433,0.4325685304940543,0.7967359050445104
8,0.42906109002087356,0.7914120561519405,0.5495957973183794,0.7299703264094956
9,0.4292293595588473,0.791907514450867,0.4571702808075383,0.7922848664688428
10,0.4273038625717163,0.7925681255161023,0.4431832962357149,0.7937685459940653
11,0.42504522086272645,0.7925681255161023,0.437282598121451,0.7937685459940653
12,0.42579401733459865,0.7912469033856318,0.435809470851317,0.7952522255192879
13,0.4230306765739825,0.7920726672171758,0.43272468334378933,0.7952522255192879
14,0.42372123940634787,0.7925681255161023,0.43908530380853206,0.7967359050445104
15,0.42175548017566405,0.793063583815029,0.4326349402852467,0.7922848664688428
16,0.4194804224467888,0.7937241948802642,0.5113582022996613,0.7507418397626113
17,0.42348756276311017,0.7920726672171758,0.4451370311276407,0.7952522255192879
18,0.4203735586240408,0.793063583815029,0.4355558623968781,0.7893175074183977
19,0.4211435058361041,0.793063583815029,0.4605561117876531,0.7804154302670623
20,0.4200874655577489,0.7927332782824112,0.5622534518425826,0.7225519287833828
