epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.7001516503110392,0.4972749793559042,0.692755788122511,0.5
2,0.6964642494498552,0.501568951279934,0.6936721683255996,0.49851632047477745
3,0.6956251789379672,0.5086705202312138,0.6934918996488305,0.5089020771513353
4,0.694582317379464,0.5066886870355078,0.6934450627788238,0.5059347181008902
5,0.6936665486245979,0.5043765483071841,0.6929636319950002,0.4910979228486647
6,0.6950358049324187,0.4981007431874484,0.6931653977855377,0.4821958456973294
7,0.6942445715334079,0.5040462427745664,0.6928656364760696,0.49851632047477745
8,0.6935755440462334,0.5152766308835673,0.6932498244927969,0.5044510385756676
9,0.6920253233413476,0.5162675474814203,0.6929476013523181,0.5103857566765578
10,0.6933554187576993,0.5149463253509496,0.6928444028961906,0.5133531157270029
11,0.6949408945911291,0.5066886870355078,0.6927214738876954,0.5014836795252225
12,0.6939767619088895,0.509496284062758,0.6931922747048851,0.5
13,0.6929440927840185,0.5134599504541701,0.6931533496882158,0.5059347181008902
14,0.6925537143336359,0.519570602807597,0.6928599529874785,0.5074183976261127
15,0.6930687233694913,0.5113129644921552,0.6927249134471225,0.4792284866468843
16,0.6928302961573141,0.508505367464905,0.6927435925169585,0.49554896142433236
17,0.6926464778445753,0.511478117258464,0.6929096441594359,0.5103857566765578
18,0.69139222382121,0.523534269199009,0.6932281825238237,0.49258160237388726
19,0.692448505471306,0.5182493806771263,0.693244461843451,0.5059347181008902
20,0.6919855352278882,0.518579686209744,0.6927966429500976,0.5059347181008902
